Drug1:	MK-1775				
Drug2:	Nirapparib				
Cell	OCUBM				
ConcUnit:	uM				
	0	0.223	0.775	2.75	10
0	-0.000626	2.127463532	2.268121781	24.50564507	44.47595898
0.0325	2.371025643	57.77048743	55.14188984	75.60598381	84.28903214
0.08	10.36814437	55.72623832	62.95487876	81.25569384	90.41057456
0.2	27.06204528	49.44632578	58.3750353	77.83507122	91.53251065
0.5	60.77336951	78.75669461	82.51737493	91.9258439	93.37611983
Drug1:	Paclitaxel				
Drug2:	L-778123 free base				
Cell:	NCIH2122				
ConcUnit:	uM				
	0	0.325	0.8	2	5
0	-0.000626	26.08354953	45.94631178	55.63478507	58.30278898
0.000325	-3.469918357	1.466737429	-1.955360157	1.85098381	3.942032136
0.0016	49.09677437	-0.957511675	-2.924121241	0.292443836	-1.751925435
0.008	93.61549528	0.080825781	1.1075353	-2.167678779	2.431260648
0.04	94.14701951	3.055194612	-1.107625069	-2.184906099	-0.644880174
